Code,UID,Name,Short name,Aggregation operator,Domain type,Description,value type,Form name,Zero is significant,url,Category combination UID,,,,
,ioUhQ3uyRxD,,,NONE,TRACKER,,TEXT,,FALSE,,OzshuDqmXQI,,,,
0,RvNJvXCx4El,0000000 INCOME & EXPENDITURE STATEMENT,0000000 INCOME & EXPENDITURE STATEMENT,SUM,AGGREGATE,,NUMBER,0000000 INCOME & EXPENDITURE STATEMENT,FALSE,,OzshuDqmXQI,,,,
1000000,zo5v2sL2Pcz,1000000 Income/Revenue,1000000 Income/Revenue,SUM,AGGREGATE,,NUMBER,1000000 Income/Revenue,FALSE,,OzshuDqmXQI,,,,
,tZ3qTxyRK6U,10.1 Residential,10.1 Residential,SUM,AGGREGATE,,NUMBER,,FALSE,,Vwvrorj8sPo,,,,
,oYdxcqRWRKh,10.1 The facility has a sound fnancial plan that is adequately funded,10.1 The facility has a sound fnancial ,SUM,TRACKER,,NUMBER,10.1 The facility has a sound fnancial plan that is adequately funded,FALSE,,OzshuDqmXQI,,,,
,PQNav0azEH1,10.2 Commercial,10.2 Commercial,SUM,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,,FALSE,,Vwvrorj8sPo,,,,
,OnDAptBbNIj,10.2 Financial resources are provided and used towards Quality Management and Continuous Quality Improvement programmes,10.2 Financial resources are provided,SUM,TRACKER,,NUMBER,10.2 Financial resources are provided and used towards Quality Management and Continuous Quality Improvement programmes,FALSE,,OzshuDqmXQI,,,,
,UXQgaCoSP7f,"10.3 Availability of updated fee structure, strategically and prominently displayed",10.3 Availability of updated fee structu,SUM,TRACKER,,NUMBER,"10.3 Availability of updated fee structure, strategically and prominently displayed",FALSE,,OzshuDqmXQI,,,,
,FGHsa8bdDE5,10.3 Institutional,10.3 Institutional,SUM,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,,FALSE,,Vwvrorj8sPo,,,,
,y9uinyIRBW0,10.4 Facility improvement/ Quality management funds are effciently used and monitored in line with MoH guidelines or equivalent,10.4 Facility improvement/ Quality manag,SUM,TRACKER,,NUMBER,10.4 Facility improvement/ Quality management funds are effciently used and monitored in line with MoH guidelines or equivalent,FALSE,,OzshuDqmXQI,,,,
,Ru4P2LVGiQH,10.4 Others,10.4 Others,SUM,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,,FALSE,,Vwvrorj8sPo,,,,
,jJSUs0JbSra,10. New EPTB,10. New EPTB,SUM,AGGREGATE,,NUMBER,10. New EPTB,FALSE,,AyNPLW6D7ha,,,,
,ibg6xyK50Wy,10. Previously treated with first-line drugs only (FFT),10. Previously treated,SUM,AGGREGATE,,NUMBER,10. Previously treated with first-line drugs only (FFT),FALSE,,pFQ7rAd4b5t,,,,
,Itz1YcJaRnD,10. Results at 5 months,10. Results at 5 months,SUM,AGGREGATE,,NUMBER,10. Results at 5 months,FALSE,,gQHAh67d3bm,,,,
,u3b3orYBYUe,1.10 A clear policy guiding Internships is in place,1.10  clear policy guiding Internships,SUM,TRACKER,,NUMBER,1.10 A clear policy guiding Internships is in place,FALSE,,OzshuDqmXQI,,,,
11.1 No of health facilities (as per field registe,KPXpN0gmyDY,11.1 No of health facilities (as per field register),11.1 No of health facilities (as per field registe,SUM,AGGREGATE,,NUMBER,,FALSE,,spLR731EyBC,,,,
,KQfvIWREywJ,11.1 Standard operating procedures are available for each department/unit,11.1 Standard operating procedures,SUM,TRACKER,,NUMBER,11.1 Standard operating procedures are available for each department/unit,FALSE,,OzshuDqmXQI,,,,
,imBWk4jfffV,1.11 Supportive supervision/trainings for lower facilities are managed as an integral part of quality improvement,Supportive supervision/trainings for low,SUM,TRACKER,,NUMBER,1.11 Supportive supervision/trainings for lower facilities are managed as an integral part of quality improvement,FALSE,,OzshuDqmXQI,,,,
,NyxeF9ZaJhg,1.12 Evidence of expenditure on Supportive Supervision is demonstrated,Evidence of expenditure on Supportive,SUM,TRACKER,,NUMBER,1.12 Evidence of expenditure on Supportive Supervision is demonstrated,FALSE,,OzshuDqmXQI,,,,
11.2 No. of premises licensed,GvgBiM1Zt1r,11.2 No. of premises licensed,11.2 No. of premises licensed,SUM,AGGREGATE,,NUMBER,,FALSE,,spLR731EyBC,,,,
,mAzawEn7QdS,11.2 Providers know and use standard treatment guidelines and protocols.,11.2 Providers know and use standard,SUM,TRACKER,,NUMBER,11.2 Providers know and use standard treatment guidelines and protocols.,FALSE,,OzshuDqmXQI,,,,
,SGi5g5Lm0tV,11.3 Job aids for complex tasks and procedures are available and used,11.3 Job aids for complex tasks,SUM,TRACKER,,NUMBER,11.3 Job aids for complex tasks and procedures are available and used,FALSE,,OzshuDqmXQI,,,,
11.3 No. of premises inspected,AP0KBdeexSO,11.3 No. of premises inspected,11.3 No. of premises inspected,SUM,AGGREGATE,,NUMBER,,FALSE,,spLR731EyBC,,,,
,duMWLYSncmW,11.4.1 Problem Identifcation and priority setting,11.4.1 Problem Identifcation and priorit,SUM,TRACKER,,NUMBER,11.4.1 Problem Identifcation and priority setting,FALSE,,OzshuDqmXQI,,,,
,CYwROOSzxIx,11.4.2 PLAN,11.4.2 PLAN,SUM,TRACKER,,NUMBER,11.4.2 PLAN,FALSE,,OzshuDqmXQI,,,,
,Tmj8q7Spfnc,11.4.3 DO,11.4.3 DO,SUM,TRACKER,,NUMBER,11.4.3 DO,FALSE,,OzshuDqmXQI,,,,
,m4RpD2hvoT4,11.4.4 CHECK,11.4.4 CHECK,SUM,TRACKER,,NUMBER,11.4.4 CHECK,FALSE,,OzshuDqmXQI,,,,
,gSi0UrHia7y,11.4.5 ACT,11.4.5 ACT,SUM,TRACKER,,NUMBER,11.4.5 ACT,FALSE,,OzshuDqmXQI,,,,
11.4 No. of premises served with intimation notice,EqlIdLI34Oj,11.4 No. of premises served with intimation notices,11.4 No. of premises served with intimation notice,SUM,AGGREGATE,,NUMBER,,FALSE,,spLR731EyBC,,,,
,fWe0hVQkqMO,11.4 Patients’/clients’ perspective and rights are observed and respected.,11.4 Patients’/clients’ perspective,SUM,TRACKER,,NUMBER,11.4 Patients’/clients’ perspective and rights are observed and respected.,FALSE,,OzshuDqmXQI,,,,
,myKiZ3J7sLM,11.5.1 Malaria ,11.5.1 Malaria ,SUM,TRACKER,,NUMBER,11.5.1 Malaria ,FALSE,,OzshuDqmXQI,,,,
,k3MaVFj6mfZ,11.5.2 EPI,11.5.2 EPI,SUM,TRACKER,,NUMBER,11.5.2 EPI,FALSE,,OzshuDqmXQI,,,,
,eQfeNTjUdEI,11.5.3 FP/RH,11.5.3 FP/RH,SUM,TRACKER,,NUMBER,11.5.3 FP/RH,FALSE,,OzshuDqmXQI,,,,
,qWIDqctEJdk,11.5.4 HIV/AIDS/TB,11.5.4 HIV/AIDS/TB,SUM,TRACKER,,NUMBER,11.5.4 HIV/AIDS/TB,FALSE,,OzshuDqmXQI,,,,
,FuTPoQg8kOx,11.5.5  IMCI,11.5.5  IMCI,SUM,TRACKER,,NUMBER,11.5.5  IMCI,FALSE,,OzshuDqmXQI,,,,
,l9DoZ3BG7zf,11.5.6 Communicable Diseases,11.5.6 Communicable Diseases,SUM,TRACKER,,NUMBER,11.5.6 Communicable Diseases,FALSE,,OzshuDqmXQI,,,,
,wQaZve25A1o,11.5.7 Other,11.5.7 Other,SUM,TRACKER,,NUMBER,11.5.7 Other,FALSE,,OzshuDqmXQI,,,,
,DfceVEY1Uq0,11.5 Documented evidence of the implementation of the following programmes,11.5 Documented evidence of the implemen,SUM,TRACKER,,NUMBER,11.5 Documented evidence of the implementation of the following programmes,FALSE,,OzshuDqmXQI,,,,
11.5 No. of previous  intimation notices complied,TnDO4GeRbp6,11.5 No. of previous  intimation notices complied,11.5 No. of previous  intimation notices complied,SUM,AGGREGATE,,NUMBER,,FALSE,,spLR731EyBC,,,,
,Z0OD7BCGzMs,11.6 Evaluation reports are available,11.6 Evaluation reports are available,SUM,TRACKER,,NUMBER,11.6 Evaluation reports are available,FALSE,,OzshuDqmXQI,,,,
,dEhdpfwXkl1,1.1 Management and clinical meetings are held on a monthly basis ,Management and clinical meetings,SUM,TRACKER,,NUMBER,1.1 Management and clinical meetings are held on a monthly basis ,FALSE,,OzshuDqmXQI,,,,
,tZYhz9UkfxJ,11. Number Tested for HIV (New EPTB),No. tested for HIV (EPTB),SUM,AGGREGATE,,NUMBER,11. Number Tested for HIV (New EPTB),FALSE,,AyNPLW6D7ha,,,,
,WJvAiaGmiPM,11. Previously treated with both first- and second-line drugs (FRT),11. Previously treated,SUM,AGGREGATE,,NUMBER,11. Previously treated with both first- and second-line drugs (FRT),FALSE,,pFQ7rAd4b5t,,,,
,GrbulyNy9r0,11. Results at 8 months,11. Results at 8 months,SUM,AGGREGATE,,NUMBER,11. Results at 8 months,FALSE,,gQHAh67d3bm,,,,
1.1 Total premises (as per field register),oKeuAFRguJ1,1.1 Total premises (as per field register),1.1 Total premises (as per field register),SUM,AGGREGATE,,NUMBER,,FALSE,,fsjkGeJmVbC,,,,
,ZDCiwmEPDOv,12.1.1 Patient/client results are assessed on a regular basis and considered,12.1.1 Patient/client results are assess,SUM,TRACKER,,NUMBER,12.1.1 Patient/client results are assessed on a regular basis and considered,FALSE,,OzshuDqmXQI,,,,
,FEKEDn0O6i5,12.1.2 Mechanism for patient/client feedback in place. Patient/client satisfaction improving,12.1.2 Mechanism for patient/client feed,SUM,TRACKER,,NUMBER,12.1.2 Mechanism for patient/client feedback in place. Patient/client satisfaction improving,FALSE,,OzshuDqmXQI,,,,
,zmu9wtj3Ncg,12.1 No of health facilities (as per field register),12.1 No of health facilities (as per field registe,SUM,AGGREGATE,,NUMBER,,FALSE,,VUMCf2X8TsQ,,,,
,k4r5EMxqJPR,12.2.1 Expenditure/revenue ratio,12.2.1 Expenditure/revenue ratio,SUM,TRACKER,,NUMBER,12.2.1 Expenditure/revenue ratio,FALSE,,OzshuDqmXQI,,,,
,BAbG4T2OPmz,12.2.2 Total financial resources in relation to number of beds,12.2.2 Total financial resources,SUM,TRACKER,,NUMBER,12.2.2 Total financial resources in relation to number of beds,FALSE,,OzshuDqmXQI,,,,
,beBhDkbLT83,12.2.3 Overall death rate (deaths/admission,12.2.3 Overall death rate (deaths/admiss,SUM,TRACKER,,NUMBER,12.2.3 Overall death rate (deaths/admission,FALSE,,OzshuDqmXQI,,,,
,qOcgA0lv2C5,12.2.4 Number of maternal death in  facility,12.2.4 Number of maternal death in  faci,SUM,TRACKER,,NUMBER,12.2.4 Number of maternal death in  facility,FALSE,,OzshuDqmXQI,,,,
,I3YYLhq8FwF,12.2.5 Deliveries,12.2.5 Deliveries,SUM,TRACKER,,NUMBER,12.2.5 Deliveries,FALSE,,OzshuDqmXQI,,,,
,bv2gJiDLuO6,12.2.6 Neonatal deaths,12.2.6 Neonatal deaths  ,SUM,TRACKER,,NUMBER,12.2.6 Neonatal deaths,FALSE,,OzshuDqmXQI,,,,
,RveZZeX801n,12.2.7 Average length of Stay,12.2.7 Average length of Stay,SUM,TRACKER,,NUMBER,,FALSE,,OzshuDqmXQI,,,,
,iND61nCdm9Y,12.2 No. of premises licensed,12.2 No. of premises licensed,SUM,AGGREGATE,,NUMBER,,FALSE,,VUMCf2X8TsQ,,,,
,xqjosYLdaFC,12.3.1 EPI Programme,12.3.1 EPI Programme,SUM,TRACKER,,NUMBER,12.3.1 EPI Programme,FALSE,,OzshuDqmXQI,,,,
,o5pL60pfWtO,12.3.2 Malaria Programme,12.3.2 Malaria  Programme,SUM,TRACKER,,NUMBER,12.3.2 Malaria Programme,FALSE,,OzshuDqmXQI,,,,
,wIKgpupipGG,12.3.3  IMCI Programme,12.3.3  IMCI Programme,SUM,TRACKER,,NUMBER,12.3.3  IMCI Programme,FALSE,,OzshuDqmXQI,,,,
,zKe7X5BfIrM,12.3.4 HIV/AIDS,12.3.4 HIV/AIDS,SUM,TRACKER,,NUMBER,12.3.4 HIV/AIDS,FALSE,,OzshuDqmXQI,,,,
,cWJMFtVrTN3,12.3.5 TB programme,12.3.5 TB programme,SUM,TRACKER,,NUMBER,12.3.5 TB programme,FALSE,,OzshuDqmXQI,,,,
,djKRLJIXBMR,12.3.6 FP programme,12.3.6 FP programme,SUM,TRACKER,,NUMBER,12.3.6 FP programme,FALSE,,OzshuDqmXQI,,,,
,lJO2h46NLq8,"12.3,7 RH programme","12.3,7 RH programme",SUM,TRACKER,,NUMBER,"12.3,7 RH programme",FALSE,,OzshuDqmXQI,,,,
,DjRZoS4B7Lc,12.3.8 Communicable diaseses programme,12.3.8 Communicable diaseses programme,SUM,TRACKER,,NUMBER,12.3.8 Communicable diaseses programme,FALSE,,OzshuDqmXQI,,,,
,Gi2BtdlcAaW,12.3 No. of premises inspected,12.3 No. of premises inspected,SUM,AGGREGATE,,NUMBER,,FALSE,,VUMCf2X8TsQ,,,,
,Rg1XDAACw5R,12.3 Progress and Performance of PHC Programmes.(where applicable),12.3 Progress and Performance of PHC,SUM,TRACKER,,NUMBER,12.3 Progress and Performance of PHC Programmes.(where applicable),FALSE,,OzshuDqmXQI,,,,
,LtDYq0s1rRb,12.3 The targets for the following programmes have been met,12.3 The targets for the following progr,SUM,TRACKER,,NUMBER,12.3 The targets for the following programmes have been met,FALSE,,OzshuDqmXQI,,,,
,XGsrFAdeygw,12.4 No. of premises served with intimation notices,12.4 No. of premises served with intimation notice,SUM,AGGREGATE,,NUMBER,,FALSE,,VUMCf2X8TsQ,,,,
"12.4 Staff attitude, moti",x2X3bGvaQhF,"12.4 Staff attitude, motivation, job satisfaction and professional improvement is assessed and monitored over time","12.4 Staff attitude, motivation, job sat",SUM,TRACKER,,NUMBER,"12.4 Staff attitude, motivation, job satisfaction and professional improvement is assessed and monitored over time",FALSE,,OzshuDqmXQI,,,,
,ShxSOiHhk2N,12.5 No. of previous  intimation notices complied,12.5 No. of previous  intimation notices complied,SUM,AGGREGATE,,NUMBER,,FALSE,,spLR731EyBC,,,,
,ni0s8ECaDcC,12.5 No. of previous intimation notices complied,12.5 No. of previous intimation notices complied,SUM,AGGREGATE,,INTEGER_ZERO_OR_POSITIVE,,FALSE,,VUMCf2X8TsQ,,,,
,zFRrMeVKBjM,12.5 Society satisfaction is assessed at regular intervals used in improvement plans,12.5 Society satisfaction is assessed,SUM,TRACKER,,NUMBER,12.5 Society satisfaction is assessed at regular intervals used in improvement plans,FALSE,,OzshuDqmXQI,,,,
,kHfHFWV55g5,12.6 Efforts to obtain information on the populations changing trends on disease burden,12.6 Efforts to obtain information,SUM,TRACKER,,NUMBER,12.6 Efforts to obtain information on the populations changing trends on disease burden,FALSE,,OzshuDqmXQI,,,,
,PPD7MpNwTZ9,1.2 Leaders take ownership and recognize their role in Quality Management and Improvement ,Leaders take ownership and recognize,SUM,TRACKER,,NUMBER,1.2 Leaders take ownership and recognize their role in Quality Management and Improvement ,FALSE,,OzshuDqmXQI,,,,
1.2 No. of premises inspected,zW8dtRnkH7z,1.2 No. of premises inspected,1.2 No. of premises inspected,SUM,AGGREGATE,,NUMBER,,FALSE,,fsjkGeJmVbC,,,,
,F7BQXT7ExEh,12. Number tested HIV+ (New EPTB),Number tested HIV+ (All),SUM,AGGREGATE,,NUMBER,12. Number tested HIV+ (New EPTB),FALSE,,AyNPLW6D7ha,,,,
,NP2XfjX1rKK,12. Results at 8 months HIV +,12.  8months -HIV +,SUM,AGGREGATE,,NUMBER,12. Results at 8 months HIV +,FALSE,,gQHAh67d3bm,,,,
,N7mWThZqZHg,"12.Total	Treatmen","12. Total	Treatment",SUM,AGGREGATE,,NUMBER,12.Total,FALSE,,pFQ7rAd4b5t,,,,
13.1 Pit latrine (new),VriJR4UPZAY,13.1 Pit latrine (new),13.1 Pit latrine (new),SUM,AGGREGATE,,NUMBER,,FALSE,,kEInhRCKIYM,,,,
13.2 Existing hand washing facilities,Uici3KrCqGj,13.2 Existing hand washing facilities,13.2 Existing hand washing facilities,SUM,AGGREGATE,,NUMBER,,FALSE,,kEInhRCKIYM,,,,
1330309,QokZ5jjGLRz,1330309 GOK Contribution,1330309 GOK Contribution,SUM,AGGREGATE,,NUMBER,1330309 GOK Contribution,FALSE,,OzshuDqmXQI,,,,
1330399,P4TPwEIXFyV,1330399 Total Grants - Fund Accounts from GoK Budget,1330399 Total Grants - Fund Accounts fro,SUM,AGGREGATE,,NUMBER,1330399 Total Grants - Fund Accounts from GoK Budget,FALSE,,OzshuDqmXQI,,,,
13.3 Flush to piped sewer systems (new),N3ynLkMYyLj,13.3 Flush to piped sewer systems (new),13.3 Flush to piped sewer systems (new),SUM,AGGREGATE,,NUMBER,,FALSE,,OzshuDqmXQI,,,,
13.4 Flush to septic tanks (new),qqP9hylCSEY,13.4 Flush to septic tanks (new),13.4 Flush to septic tanks (new),SUM,AGGREGATE,,NUMBER,,FALSE,,kEInhRCKIYM,,,,
"13.5 Others (bucket, bush etc)",Qgc5VND5B04,"13.5 Others (bucket, bush etc)","13.5 Others (bucket, bush etc)",SUM,AGGREGATE,,NUMBER,,FALSE,,kEInhRCKIYM,,,,
